sector,subsector,segment,subsegment,asset,value,hex,unchanged,modified,added,deleted
Energy,,,,,1,#FFFFFF,1,,,
Energy,Biodiesel,,,,1,#FFFFFF,1,,,
Energy,Biodiesel,,,Biodiesel Feed Material Supply Facility,1,#FFFF00,,1,,
Energy,Biodiesel,,,Biodiesel Fueling Station,1,#FFFF00,,1,,
Energy,Biodiesel,,,Biodiesel Production Facility,1,#FFFF00,,1,,
Energy,Biodiesel,,,Biodiesel Storage Facility,1,#FFFF00,,1,,
Energy,Biodiesel,,,Biodiesel Transport Facility,1,#FFFF00,,1,,
Energy,Coal,,,,1,#FFFFFF,1,,,
Energy,Coal,,,Coal Market,1,#FFFF00,,1,,
Energy,Coal,Coal Processing Facility,,,1,#FFFFFF,1,,,
Energy,Coal,Coal Processing Facility,,Coal Gasification Plant,1,#FFFF00,,1,,
Energy,Coal,Coal Processing Facility,,Coal Liquefaction Plant,1,#FFFF00,,1,,
Energy,Coal,Coal Processing Facility,,Coal Preparation Plant (Coal Cleaning Plant),1,#FFFF00,,1,,
Energy,Coal,Coal Supply Facility,,,1,#FFFFFF,1,,,
Energy,Coal,Coal Supply Facility,,Surface Mine,1,#FFFF00,,1,,
Energy,Coal,Coal Supply Facility,,Underground Mine,1,#FFFF00,,1,,
Energy,Coal,Coal Transport,,,1,#FFFFFF,1,,,
Energy,Coal,Coal Transport,,Coal Port,1,#FFFF00,,1,,
Energy,Coal,Coal Transport,Coal Transport Vehicle,,1,#FFFF00,,1,,
Energy,Coal,Coal Transport,Coal Transport Vehicle,Coal Rail Car,1,#FFFF00,,1,,
Energy,Coal,Coal Transport,Coal Transport Vehicle,Coal Barge,1,#FFFFFF,1,,,
Energy,Coal,Coal Transport,Coal Transport Route,,1,#FFFF00,,1,,
Energy,Coal,Coal Transport,Coal Transport Route,Coal Unit Train Route,1,#FFFF00,,1,,
Energy,Coal,Coal Transport,Coal Transport Route,Coal Water Transport Route,1,#FFFF00,,1,,
Energy,District Energy System,Coal Transport,,,1,#FFFF00,,1,,
Energy,District Energy System,Coal Transport,,Combined Heat and Power Plant,1,#FFFF00,,1,,
Energy,District Energy System,Coal Transport,,District Cooling Facility,1,#FFFF00,,1,,
Energy,District Energy System,Coal Transport,,District Heating Facility,1,#FFFF00,,1,,
Energy,District Energy System,Coal Transport,,District Power Facility,1,#FFFF00,,1,,
Energy,Electricity,,,,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Distribution Facility,,,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Distribution Facility,,Distribution Control and Dispatch Center,1,#FFFF00,,1,,
Energy,Electricity,Electricity Distribution Facility,,Distribution Line,1,#FFFF00,,1,,
Energy,Electricity,Electricity Distribution Facility,,Distribution Substation,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,,,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,,Nuclear Electric Power Generation Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,,Light Water Reactor Power Plant,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,Coal-fired Generator Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,Natural Gas-fired Generator Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,Oil-Fired Generator Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,Hydroelectric Dam,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,Pumped Storage Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,Run-of-river Generator Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,Geothermal Generation Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,Wind Generation Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,Solar Generation Facility,1,#FFFF00,,1,,
Energy,Electricity,Electricity Market,,,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Market,,Generation Market,1,#FFFF00,,1,,
Energy,Electricity,Electricity Market,,Transmission Market,1,#FFFF00,,1,,
Energy,Electricity,Energy Storage Facility,,,1,#008000,,,1,
Energy,Electricity,Energy Storage Facility,,Battery Storage,1,#008000,,,1,
Energy,Electricity,Energy Storage Facility,,Compressed Air,1,#008000,,,1,
Energy,Electricity,Energy Storage Facility,,Flywheel Energy Storage,1,#008000,,,1,
Energy,Electricity,Energy Storage Facility,,Mechanical Gravity Energy Storage ,1,#008000,,,1,
Energy,Electricity,Energy Storage Facility,,Pumped hydro electric,1,#008000,,,1,
Energy,Electricity,Energy Storage Facility,,Thermal Energy Storage,1,#008000,,,1,
Energy,Electricity,Electricity Transmission Facility,,,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Transmission Facility,,Direct Current (DC) Converter Station,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Transmission Facility,,Generation Dispatch and Transmission Control Center,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Transmission Facility,,Transmission Line,1,#FFFFFF,1,,,
Energy,Electricity,Electricity Transmission Facility,,Transmission Substation,1,#FFFFFF,1,,,
Energy,Electricity,Electric Vehicle Charging Station,,,1,#FFFFFF,1,,,
Energy,Electricity,Electric Vehicle Charging Station,,Electric Vehicle Rapid-charging Station,1,#FFFFFF,1,,,
Energy,Electricity,Electric Vehicle Charging Station,,Electric Vehicle Standard-charging Station,1,#FFFFFF,1,,,
Energy,Ethanol,,,,1,#FFFFFF,1,,,
Energy,Ethanol,,,E-85 Fueling Station,1,#FFFFFF,1,,,
Energy,Ethanol,,,Ethanol Blending Facility,1,#FFFFFF,1,,,
Energy,Ethanol,,,Ethanol Feed Material Supply Facility,1,#FFFFFF,1,,,
Energy,Ethanol,,,Ethanol Market,1,#FFFFFF,1,,,
Energy,Ethanol,,,Ethanol Production Facility,1,#FFFFFF,1,,,
Energy,Ethanol,,,Ethanol Storage Facility,1,#FFFFFF,1,,,
Energy,Ethanol,Ethanol Transport,,,1,#FFFFFF,1,,,
Energy,Ethanol,Ethanol Transport,,Ethanol Non-Unit Train ,1,#FFFFFF,1,,,
Energy,Ethanol,Ethanol Transport,,Ethanol Rail Car ,1,#FFFFFF,1,,,
Energy,Ethanol,Ethanol Transport,,Ethanol Unit Train Route,1,#FFFFFF,1,,,
Energy,Hydrogen,,,,1,#FFFFFF,1,,,
Energy,Hydrogen,,,Hydrogen Fueling Station,1,#FFFFFF,1,,,
Energy,Hydrogen,,,Hydrogen Production Facility,1,#FFFFFF,1,,,
Energy,Hydrogen,,,Hydrogen Source Material Supply Facility,1,#FFFFFF,1,,,
Energy,Hydrogen,,,Hydrogen Storage Facility,1,#FFFFFF,1,,,
Energy,Hydrogen,,,Hydrogen Transport Facility,1,#FFFFFF,1,,,
Energy,Natural Gas,,,,1,#FFFFFF,1,,,
Energy,Natural Gas,,,Natural Gas Market,1,#FFFFFF,1,,,
Energy,Natural Gas,,,Natural Gas Processing Plant,1,#FFFFFF,1,,,
Energy,Natural Gas,Liquefied Natural Gas (LNG) Plant,,,1,#FFFFFF,1,,,
Energy,Natural Gas,Liquefied Natural Gas (LNG) Plant,,Liquefied Natural Gas (LNG) Liquefaction Plant,1,#FFFFFF,1,,,
Energy,Natural Gas,Liquefied Natural Gas (LNG) Plant,,Liquefied Natural Gas (LNG) Satellite Storage and Regasification Plant,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Distribution Facility,,,1,#FFFFFF,1,,,
Energy,Natural Gas,Natural Gas Distribution Facility,,City Gate Station,1,#FFFFFF,1,,,
