5.2.1,Coal Processing Facility
5.2.2,Coal Supply Facility
5.2.3,Coal Transport
5.4.1,Electricity Distribution Facility
5.4.3,Electricity Market
5.4.5,Electricity Transmission Facility
5.4.6,Electric Vehicle Charging Station
5.5.1,Ethanol Transport
5.7.1,Liquefied Natural Gas (LNG) Plant
5.7.1,Natural Gas Distribution Facility
5.7.2,Natural Gas Storage
5.7.3,Natural Gas Supply Facility
5.7.4,Natural Gas Transport 
5.8.1,Crude Oil Storage Facility
5.8.2,Crude Oil Supply Facility
5.8.3,Crude Oil Transport 
5.8.4,Petroleum Product Storage
5.8.5,Petroleum Product Transport
5.8.6,Petroleum Supporting Facility
