,,,,
V5 Sector,V5 Sub-Sector,V5 Segment,V5 Sub-Segment,V5 Asset
Energy,,,,
Energy,Biodiesel,,,
Energy,Biodiesel,,,Biodiesel Feed Material Supply Facility
Energy,Biodiesel,,,Biodiesel Fueling Station
Energy,Biodiesel,,,Biodiesel Production Facility
Energy,Biodiesel,,,Biodiesel Storage Facility
Energy,Biodiesel,,,Biodiesel Transport Facility
Energy,Coal,,,
Energy,Coal,,,Coal Market
Energy,Coal,Coal Processing Facility,,
Energy,Coal,Coal Processing Facility,,Coal Gasification Plant
Energy,Coal,Coal Processing Facility,,Coal Liquefaction Plant
Energy,Coal,Coal Processing Facility,,Coal Preparation Plant (Coal Cleaning Plant)
Energy,Coal,Coal Supply Facility,,
Energy,Coal,Coal Supply Facility,,Surface Mine
Energy,Coal,Coal Supply Facility,,Underground Mine
Energy,Coal,Coal Transport,,
Energy,Coal,Coal Transport,,Coal Port
Energy,Coal,Coal Transport,Coal Transport Vehicle,
Energy,Coal,Coal Transport,Coal Transport Vehicle,Coal Rail Car
Energy,Coal,Coal Transport,Coal Transport Vehicle,Coal Barge
Energy,Coal,Coal Transport,Coal Transport Route,
Energy,Coal,Coal Transport,Coal Transport Route,Coal Unit Train Route
Energy,Coal,Coal Transport,Coal Transport Route,Coal Water Transport Route
Energy,District Energy System,Coal Transport,,
Energy,District Energy System,Coal Transport,,Combined Heat and Power Plant
Energy,District Energy System,Coal Transport,,District Cooling Facility
Energy,District Energy System,Coal Transport,,District Heating Facility
Energy,District Energy System,Coal Transport,,District Power Facility
Energy,Electricity,,,
Energy,Electricity,Electricity Distribution Facility,,
Energy,Electricity,Electricity Distribution Facility,,Distribution Control and Dispatch Center
Energy,Electricity,Electricity Distribution Facility,,Distribution Line
Energy,Electricity,Electricity Distribution Facility,,Distribution Substation
Energy,Electricity,Electricity Generation Facility,,
Energy,Electricity,Electricity Generation Facility,,Nuclear Electric Power Generation Facility
Energy,Electricity,Electricity Generation Facility,,Light Water Reactor Power Plant
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,Coal-fired Generator Facility
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,Natural Gas-fired Generator Facility
Energy,Electricity,Electricity Generation Facility,Fossil Fuel Electric Power Generation Facility,Oil-Fired Generator Facility
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,Hydroelectric Dam
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,Pumped Storage Facility
Energy,Electricity,Electricity Generation Facility,Hydroelectric Power Generation Facility,Run-of-river Generator Facility
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,Geothermal Generation Facility
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,Wind Generation Facility
Energy,Electricity,Electricity Generation Facility,Renewable Energy Generation Facility,Solar Generation Facility
Energy,Electricity,Electricity Market,,
Energy,Electricity,Electricity Market,,Generation Market
Energy,Electricity,Electricity Market,,Transmission Market
Energy,Electricity,Energy Storage Facility,,
Energy,Electricity,Energy Storage Facility,,Battery Storage
Energy,Electricity,Energy Storage Facility,,Compressed Air
Energy,Electricity,Energy Storage Facility,,Flywheel Energy Storage
Energy,Electricity,Energy Storage Facility,,Mechanical Gravity Energy Storage 
Energy,Electricity,Energy Storage Facility,,Pumped hydro electric
Energy,Electricity,Energy Storage Facility,,Thermal Energy Storage
Energy,Electricity,Electricity Transmission Facility,,
Energy,Electricity,Electricity Transmission Facility,,Direct Current (DC) Converter Station
Energy,Electricity,Electricity Transmission Facility,,Generation Dispatch and Transmission Control Center
Energy,Electricity,Electricity Transmission Facility,,Transmission Line
Energy,Electricity,Electricity Transmission Facility,,Transmission Substation
Energy,Electricity,Electric Vehicle Charging Station,,
Energy,Electricity,Electric Vehicle Charging Station,,Electric Vehicle Rapid-charging Station
Energy,Electricity,Electric Vehicle Charging Station,,Electric Vehicle Standard-charging Station
Energy,Ethanol,,,
Energy,Ethanol,,,E-85 Fueling Station
Energy,Ethanol,,,Ethanol Blending Facility
Energy,Ethanol,,,Ethanol Feed Material Supply Facility
Energy,Ethanol,,,Ethanol Market
Energy,Ethanol,,,Ethanol Production Facility
Energy,Ethanol,,,Ethanol Storage Facility
Energy,Ethanol,Ethanol Transport,,
Energy,Ethanol,Ethanol Transport,,Ethanol Non-Unit Train 
Energy,Ethanol,Ethanol Transport,,Ethanol Rail Car 
Energy,Ethanol,Ethanol Transport,,Ethanol Unit Train Route
Energy,Hydrogen,,,
Energy,Hydrogen,,,Hydrogen Fueling Station
Energy,Hydrogen,,,Hydrogen Production Facility
Energy,Hydrogen,,,Hydrogen Source Material Supply Facility
Energy,Hydrogen,,,Hydrogen Storage Facility
Energy,Hydrogen,,,Hydrogen Transport Facility
Energy,Natural Gas,,,
Energy,Natural Gas,,,Natural Gas Market
Energy,Natural Gas,,,Natural Gas Processing Plant
Energy,Natural Gas,Liquefied Natural Gas (LNG) Plant,,
Energy,Natural Gas,Liquefied Natural Gas (LNG) Plant,,Liquefied Natural Gas (LNG) Liquefaction Plant
Energy,Natural Gas,Liquefied Natural Gas (LNG) Plant,,Liquefied Natural Gas (LNG) Satellite Storage and Regasification Plant
Energy,Natural Gas,Natural Gas Distribution Facility,,
Energy,Natural Gas,Natural Gas Distribution Facility,,City Gate Station
Energy,Natural Gas,Natural Gas Distribution Facility,,Compressed Natural Gas (CNG) Plant
Energy,Natural Gas,Natural Gas Distribution Facility,,Natural Gas Distribution Control and Dispatch Center
Energy,Natural Gas,Natural Gas Distribution Facility,,Natural Gas Distribution Pipeline Network
Energy,Natural Gas,Natural Gas Storage,,
Energy,Natural Gas,Natural Gas Storage,,Above Ground Storage Facility
Energy,Natural Gas,Natural Gas Storage,,Propane Peak Shaving Facility
Energy,Natural Gas,Natural Gas Storage,,Underground Storage Facility
Energy,Natural Gas,Natural Gas Supply Facility,,
Energy,Natural Gas,Natural Gas Supply Facility,,Drilling Rig 
Energy,Natural Gas,Natural Gas Supply Facility,,On-Shore Well
Energy,Natural Gas,Natural Gas Supply Facility,,Off-Shore Well
Energy,Natural Gas,Natural Gas Supply Facility,,Unconventional Gas Extraction Facility
Energy,Natural Gas,Natural Gas Transport ,,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,Liquefied Natural Gas (LNG) Port
Energy,Natural Gas,Natural Gas Transport ,Liquefied Natural Gas (LNG) Transport,Liquefied Natural Gas (LNG) Tanker
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,
Energy,Natural Gas,Natural Gas Transport ,Natural Gas Transmission Pipeline,Natural Gas Pipeline Hub
